SEXUA,IZENA,ABIZENA,ADINA,ADIN TARTEA,ESKARMENTUA,ALTUERA,MASA,MAILA,ESTILOA,PRESA
Gizona,PABLO,SERRANO,25.0,Gaztea,3.0,179.0,87.96,Aurreratua,Dinamikoa,Crimp
Gizona,JOSE LUIS,RUIZ,38.0,Heldua,3.0,183.0,77.13,Aurreratua,Nahasia,Crack
Emakumea,MARIA,BRAVO,15.0,Nerabea,7.0,162.0,57.35,Aurreratua,Nahasia,Sloper
Emakumea,MARIA ISABEL,LEON,16.0,Nerabea,0.0,158.0,46.72,Hasiberria,Nahasia,Jug
Gizona,FRANCISCO JAVIER,GALLARDO,14.0,Nerabea,6.0,169.0,67.99,Aurreratua,Dinamikoa,Volume
Gizona,DANIEL,VEGA,24.0,Gaztea,3.0,167.0,60.47,Profesionala,Estatikoa,Sloper
Gizona,JOAQUIN,CARRASCO,20.0,Nerabea,2.0,173.0,62.96,Aurreratua,Estatikoa,Crimp
Gizona,EMILIO,CORTES,39.0,Heldua,3.0,177.0,85.16,Erdikoa,Nahasia,Sloper
Emakumea,MANUELA,ROJAS,17.0,Nerabea,9.0,164.0,61.72,Aurreratua,Estatikoa,Volume
Emakumea,ESTIBALIZ,BRAVO,27.0,Gaztea,4.0,169.0,57.94,Aurreratua,Estatikoa,Jug
Gizona,JUAN JOSE,MOLINA,29.0,Gaztea,6.0,174.0,87.4,Erdikoa,Estatikoa,Jug
Gizona,OSCAR,DOMINGUEZ,54.0,Heldua,6.0,160.0,75.84,Aurreratua,Dinamikoa,Pinch
Gizona,IKER,MUÑOZ,33.0,Gaztea,2.0,171.0,81.63,Aurreratua,Estatikoa,Pinch
Gizona,JOSE LUIS,RODRIGUEZ,33.0,Gaztea,8.0,181.0,71.31,Profesionala,Dinamikoa,Crack
Gizona,DIEGO,PALACIOS,17.0,Gaztea,2.0,185.0,64.84,Aurreratua,Dinamikoa,Pocket
Gizona,IBAI,SANTOS,24.0,Gaztea,2.0,193.0,87.48,Aurreratua,Estatikoa,Edge
Gizona,IGNACIO,GARCIA,35.0,Gaztea,0.0,184.0,75.95,Hasiberria,Nahasia,Mono
Gizona,ANDRES,MORALES,14.0,Nerabea,4.0,170.0,61.36,Aurreratua,Nahasia,Jug
Gizona,ASIER,NUÑEZ,20.0,Nerabea,10.0,177.0,52.81,Aurreratua,Estatikoa,Crimp
Gizona,MIGUEL,DURAN,16.0,Nerabea,5.0,167.0,52.65,Aurreratua,Estatikoa,Sloper
Emakumea,IRENE,PRIETO,20.0,Nerabea,0.0,157.0,64.57,Erdikoa,Dinamikoa,Pinch
Gizona,MIGUEL,GONZALEZ,18.0,Nerabea,5.0,167.0,67.35,Aurreratua,Estatikoa,Sloper
Gizona,JOSE LUIS,DOMINGUEZ,15.0,Nerabea,5.0,168.0,70.4,Aurreratua,Estatikoa,Mono
Gizona,IÑIGO,FLORES,17.0,Nerabea,1.0,184.0,64.55,Hasiberria,Estatikoa,Mono
Emakumea,MARIA TERESA,TORRES,17.0,Nerabea,11.0,153.0,67.09,Erdikoa,Dinamikoa,Crimp
Emakumea,MARIA PILAR,MARIN,32.0,Gaztea,2.0,176.0,66.5,Aurreratua,Estatikoa,Pocket
Gizona,DANIEL,GUERRERO,17.0,Nerabea,0.0,160.0,65.24,Aurreratua,Nahasia,Sloper
Gizona,ANTONIO,RAMOS,46.0,Heldua,4.0,179.0,72.99,Erdikoa,Nahasia,Pocket
Gizona,JESUS,MOLINA,23.0,Gaztea,2.0,170.0,74.22,Aurreratua,Nahasia,Jug
Emakumea,MARIA BEGOÑA,CRESPO,29.0,Gaztea,15.0,165.0,82.47,Erdikoa,Estatikoa,Sloper
Gizona,CARLOS,LORENZO,36.0,Heldua,10.0,174.0,77.97,Erdikoa,Nahasia,Pinch
Emakumea,MARIA ANGELES,MARQUEZ,20.0,Nerabea,3.0,164.0,54.85,Aurreratua,Nahasia,Pocket
Gizona,RAFAEL,HERNANDEZ,27.0,Gaztea,2.0,173.0,75.16,Erdikoa,Dinamikoa,Crimp
Gizona,JUAN CARLOS,LOZANO,18.0,Nerabea,3.0,161.0,70.81,Aurreratua,Estatikoa,Mono
Gizona,GORKA,ROMAN,53.0,Heldua,3.0,161.0,84.5,Aurreratua,Nahasia,Pinch
Emakumea,ANA BELEN,SUAREZ,16.0,Nerabea,4.0,162.0,52.44,Erdikoa,Dinamikoa,Sloper
Gizona,PABLO,MONTERO,21.0,Gaztea,6.0,183.0,78.23,Elitea,Dinamikoa,Edge
Emakumea,MARIA ANGELES,SANZ,32.0,Gaztea,7.0,180.0,72.95,Aurreratua,Nahasia,Crimp
Gizona,DANIEL,SANCHEZ,36.0,Heldua,6.0,179.0,74.14,Aurreratua,Nahasia,Crimp
Emakumea,ROSARIO,MONTERO,14.0,Nerabea,11.0,153.0,60.16,Aurreratua,Dinamikoa,Edge
Gizona,JUAN,CASTRO,32.0,Gaztea,3.0,161.0,73.61,Erdikoa,Dinamikoa,Pinch
Gizona,JOSE ANTONIO,FERRER,24.0,Gaztea,4.0,177.0,86.77,Aurreratua,Dinamikoa,Sloper
Gizona,FRANCISCO,CORTES,29.0,Gaztea,7.0,181.0,63.34,Aurreratua,Dinamikoa,Crimp
Emakumea,MARIA CONCEPCION,ROMAN,44.0,Heldua,9.0,160.0,68.11,Elitea,Nahasia,Volume
Emakumea,MARIA NIEVES,GARRIDO,40.0,Heldua,7.0,153.0,65.64,Aurreratua,Estatikoa,Pinch
Emakumea,ANA MARIA,MORALES,26.0,Gaztea,1.0,166.0,73.37,Hasiberria,Nahasia,Pocket
Gizona,JOSE ANTONIO,CRUZ,48.0,Heldua,4.0,179.0,80.07,Erdikoa,Nahasia,Sloper
Emakumea,MARIA CARMEN,DURAN,48.0,Heldua,7.0,165.0,68.32,Elitea,Estatikoa,Pinch
Gizona,JUAN JOSE,GONZALEZ,47.0,Heldua,6.0,162.0,83.02,Profesionala,Estatikoa,Pinch
Gizona,IÑIGO,SANTIAGO,29.0,Gaztea,1.0,182.0,72.62,Hasiberria,Estatikoa,Sloper
